Keyword to Disc,Agric and BioSci,Arts and Humanities,Biochem and Molecular Bio,Business,Chemical engineering,Chemistry,Computer Science,Decision Sciences,Earth and Planetary Sci,Econonics,Energy,Engineering,Environmental Sci,Health Professions,Immunology and Microbio,Materials Science,Mathematics,Medicine,Multidisciplinary,Multidisciplinary,Neuroscience,Nursing,Pharmacology,Physics and Astronomy,Psychology,Social Sciences
Spatial ecology,11,0,2,1,0,0,1,0,0,0,0,0,10,0,5,0,1,2,3,3,0,0,0,0,0,2
Spatial econometric,0,0,0,10,1,1,0,22,0,86,0,0,3,0,0,0,8,0,0,0,0,1,0,0,0,16
Spatial econometrics,0,0,0,10,1,1,0,19,0,79,0,0,3,0,0,0,8,0,0,0,0,1,0,0,0,15
Spatial frequency,0,1,2,0,0,0,3,0,0,0,0,3,0,5,0,3,0,3,3,3,4,0,0,2,2,1
Spatial games,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0
spatial imagery,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spatial knowledge,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,5
Spatial language,0,16,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,3,8
Spatial learning,6,3,15,1,0,0,2,0,0,0,0,0,0,1,6,0,0,5,5,5,13,3,51,0,10,2
Spatial memory,6,15,18,1,0,0,0,0,0,0,0,0,1,2,15,0,2,9,7,7,19,8,58,0,19,8
Spatial model,17,3,2,14,2,2,7,26,9,32,5,5,26,1,11,0,15,0,4,4,0,0,0,2,0,19
Spatial modeling,3,0,2,6,0,0,4,9,3,11,2,2,5,0,2,0,5,0,3,3,0,0,0,0,0,4
Spatial modelling,7,2,0,3,0,0,2,7,4,1,1,1,12,0,1,0,0,0,0,0,0,0,0,1,0,7
Spatial models,2,1,0,3,2,2,1,7,1,11,0,1,2,0,3,0,6,0,0,0,0,0,0,0,0,6
